check,variant,gold,n,candidate_accuracy,tie_rate,ci95_low,ci95_high,format_rate,free_accuracy,mean_yes_minus_no
broken,first,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.6442187456786632
broken,second,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.6482812505960465
direct,base,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.6567187497019767
direct,base,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.6410937517881393
robustness,distractors,No,100,0.99,0.01,0.9455124752390653,0.9982326134344526,1.0,1.0,-0.26671875149011615
robustness,distractors,Yes,100,0.0,0.02,0.0,0.03699480747600191,1.0,0.0,-0.2985937505960464
robustness,rename,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.6315624991059303
robustness,rename,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.6704687519371509
robustness,reorder,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.6285937502980232
robustness,reorder,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.6828125044703484
twohop,base,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.634687497317791
twohop,base,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.6895312477648258
