check,variant,n,free_accuracy,candidate_accuracy,candidate_ties,valid_candidate_format_rate,mean_gold_minus_other
broken,first,100,0.56,0.57,0,1.0,0.08163494966924191
broken,second,100,0.47,0.49,0,1.0,-0.03801717594265938
direct,base,200,0.505,0.505,0,1.0,0.06585514277219773
robustness,distractors,200,0.49,0.485,0,1.0,0.0077043290436267856
robustness,rename,200,0.445,0.46,0,1.0,-0.09737991027534008
robustness,reorder,200,0.495,0.495,0,1.0,0.062178978100419044
twohop,base,200,0.49,0.495,0,1.0,0.027798803932964803
