check,variant,n,free_accuracy,candidate_accuracy,candidate_ties,valid_candidate_format_rate,mean_gold_minus_other
broken,first,100,0.27,0.32,0,0.82,-1.479148092120886
broken,second,100,0.66,0.69,0,0.91,1.868672638880089
direct,base,200,0.855,0.87,0,0.975,2.5646563618374056
robustness,distractors,200,0.415,0.72,0,0.535,1.6635946161858737
robustness,rename,200,0.625,0.69,0,0.885,1.9204904130811338
robustness,reorder,200,0.32,0.495,0,0.715,-0.0244598357193172
twohop,base,200,0.595,0.67,0,0.885,1.858344661029987
