check,variant,gold,n,candidate_accuracy,tie_rate,ci95_low,ci95_high,format_rate,free_accuracy,mean_yes_minus_no
broken,first,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5581250023841858
broken,second,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5637499997019768
direct,base,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5365625005960465
direct,base,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.5087500011920929
robustness,distractors,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.31859375089406966
robustness,distractors,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.33437500029802325
robustness,rename,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5423437502980232
robustness,rename,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.5465624976158142
robustness,reorder,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5443749976158142
robustness,reorder,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.5570312479138374
twohop,base,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5432812488079071
twohop,base,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.5596874976158142
